bee,colony,queen,group,PreExposure,framesOnNest,framesOffNest,AtoI_Unbumped_OnNest,ItoA_Unbumped_OnNest,AtoI_Bumped_OnNest,ItoA_Bumped_OnNest,AtoI_Unbumped_OffNest,ItoA_Unbumped_OffNest,AtoI_Bumped_OffNest,ItoA_Bumped_OffNest
6280,2,0,1,0,4457,102,0.00370475919065261,0.321428571428571,0.00279720279720275,0.384615384615385,0,NaN,0,NaN
5648,2,0,3,0,1517,1540,0.0253045923149016,0.193798449612403,0.016260162601626,0.318181818181818,0.0691056910569106,0.0726744186046512,0.0535714285714286,0.0967741935483871
5417,2,0,2,0,2559,825,0.00982419855222338,0.428571428571429,0.00202429149797567,0.2,0.0406091370558376,0.0569395017793594,0,0
6218,2,0,1,0,1664,1595,0.0218446601941747,0.179310344827586,0.00540540540540535,1,0.0661764705882353,0.0412249705535925,0.032967032967033,0.263157894736842
5477,2,0,1,0,5328,350,0.00774779588565322,0.142857142857143,0.0145413870246085,0.0333333333333333,0.0257510729613734,0.179487179487179,0,NaN
5611,2,0,2,0,1253,357,0.00535331905781589,0.625,0,NaN,0,NaN,0,NaN
6132,2,0,2,0,4031,54,0.00678642714570854,0.0324675324675325,0.00275482093663915,0.00552486187845304,0.025,1,0,NaN
5351,2,0,2,0,3416,291,0.0100136549840691,0.0741935483870968,0.0155807365439093,0.116279069767442,0,NaN,0,NaN
5318,2,0,1,0,3368,451,0.00762485703393057,0.306451612903226,0.0016556291390728,0.5,0.0128205128205128,0.285714285714286,0,NaN
5383,2,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5285,2,0,1,0,2573,126,0.00480512546716494,0.126760563380282,0.0197132616487455,0.545454545454545,0,NaN,0,NaN
5408,2,0,1,0,1516,329,0.0120087336244541,0.0303030303030303,0.0078125,0.217391304347826,0.00763358778625955,0.133333333333333,0,NaN
5445,2,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5579,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5353,2,0,1,0,504,2887,0.00544959128065392,0.25,0.018348623853211,0.333333333333333,0.000894454382826426,0.0375,0,NaN
5476,2,0,3,0,3029,66,0.0448818897637795,0.0627306273062731,0.0391061452513967,0.0354477611940298,0,NaN,0.0384615384615384,1
5573,2,0,2,0,4180,217,0.00791193670450641,0.39344262295082,0.0168483647175421,0.419354838709677,0.00900900900900903,0,0.025974025974026,0.2
5601,2,0,1,0,1713,3019,0.0201042442293373,0.254716981132075,0.0104166666666666,0.5,0.0275502606105733,0.0275807722616233,0.0476190476190477,0.0416666666666667
5653,2,0,3,0,742,3323,0.00995024875621886,0.833333333333333,0.0376712328767124,0.434782608695652,0.106796116504854,0.0147694524495677,0.0294117647058824,0.131578947368421
5281,2,0,1,0,2684,3175,0.0147368421052632,0.130434782608696,0.00835073068893533,0.131578947368421,0.0483754512635379,0.064453125,0.119205298013245,0.0339285714285714
6143,2,0,2,0,1192,1928,0.0156062424969988,0.351351351351351,0,NaN,0.0263157894736842,0.0360824742268041,0.0133333333333333,0.222222222222222
5253,2,0,1,0,1749,2082,0.0125786163522013,0.576923076923077,0.0342465753424658,0.0274914089347079,0.0164305949008499,0.228346456692913,0.00704225352112675,1
5382,2,0,1,0,3597,298,0.0134398837631674,0.226744186046512,0.0161290322580645,0.241379310344828,0.0349344978165939,0.181818181818182,0,NaN
5352,2,0,1,0,2700,732,0.00600600600600598,0.379310344827586,0.00366300366300365,1,0.00311041990668737,0.5,0,NaN
6146,2,0,2,0,2362,141,0.0160390516039052,0.295774647887324,0.0263852242744064,0.0338983050847458,0.0198019801980198,0.285714285714286,0,NaN
6182,2,0,3,0,106,190,0.0114942528735632,1,0,NaN,0.0381679389312977,0.352941176470588,0,NaN
5283,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6415,2,0,3,0,2423,89,0.017996400719856,0.208860759493671,0.0578778135048231,0.0595238095238095,0,NaN,0,NaN
6324,2,0,3,0,1202,64,0.01431718061674,0.270833333333333,0.0176470588235295,0.2,0,NaN,0,NaN
6249,2,0,2,0,3402,710,0.00930044480388192,0.170940170940171,0.0049099836333879,0.181818181818182,0.00656455142231949,0.0206896551724138,0.0576923076923077,0.0476190476190476
5327,2,0,1,0,2439,3536,0.00772626931567333,0.40625,0.00202429149797567,1,0.0302267002518891,0.0451010886469673,0.00574712643678166,0.2
5294,2,0,1,0,3483,532,0.00710702341137126,0.142857142857143,0.0105708245243129,0.00815217391304348,0.0387596899224806,0.0378151260504202,0,0
6379,2,0,1,0,2831,280,0.00839091806515302,0.32258064516129,0.00707964601769917,0.307692307692308,0.0190476190476191,0.444444444444444,0.0344827586206896,0.5
5658,2,0,3,0,3451,599,0.046220772158782,0.10025706940874,0.0288808664259927,0.159235668789809,0.0398009950248757,0.151260504201681,0.0416666666666666,0.2
6188,2,0,2,0,1189,71,0.00757575757575757,0.421052631578947,0.00502512562814073,NaN,0,NaN,0,NaN
6110,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6147,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6383,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6240,2,0,3,0,14,8771,0,NaN,NaN,NaN,0.198757763975155,0.00854936569222283,0.128440366972477,0.0142045454545455
6313,2,0,3,0,2259,2476,0.0666666666666667,0.0292230933713471,0.0551724137931034,0.169811320754717,0.0589519650655022,0.016374269005848,0.181818181818182,0.00704225352112676
5384,2,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6294,2,0,2,0,3180,1376,0.00503989920201597,0.722222222222222,0.0092592592592593,0.307692307692308,0.0313531353135313,0.0321428571428571,0.032258064516129,0.153846153846154
6184,2,0,2,0,3367,117,0.0040338846308996,0.545454545454545,0.00266311584553924,0.2,0,NaN,0,NaN
5290,3,1,0,0,5203,12,0.0889039701391245,0.14916810097533,0.0524691358024691,0.135338345864662,0,NaN,0,NaN
6254,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6185,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6101,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6222,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6695,3,0,2,0,65,422,0,NaN,0,NaN,0.015625,0.227272727272727,0,NaN
6713,3,0,3,0,205,5103,0.00617283950617287,NaN,0,NaN,0.178861788617886,0.0221157390342794,0.231884057971015,0.0303867403314917
6703,3,0,3,0,820,2,0.0358814352574103,0.523809523809524,0.02,0.4,0,NaN,NaN,NaN
6502,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6696,3,0,0,0,0,6505,NaN,NaN,NaN,NaN,1,0.000211237853823405,1,0.000569151963574274
6499,3,0,2,0,271,106,0,0.1,0,0,0,0,0,NaN
6717,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6212,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6548,3,0,2,0,3718,509,0.055613850996852,0.0765987350667604,0.0251572327044025,0.3,0.373913043478261,0.112860892388451,NaN,0
6505,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5578,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6684,3,0,2,0,2090,732,0.00388098318240626,0.0448717948717949,0.0083333333333333,0.0238095238095238,0.0299003322259136,0.18,0,NaN
6537,3,0,3,0,0,7039,NaN,NaN,NaN,NaN,0.365740740740741,0.0122853759621078,0.571428571428571,0.0208333333333333
6710,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5312,3,0,3,0,321,490,0.0217391304347826,0.125,0.0384615384615384,0,0.0370370370370371,0.0548780487804878,0,NaN
6189,3,0,3,0,2116,1067,0.0457650273224044,0.179347826086957,0.0114942528735632,0.0727272727272727,0.0291479820627802,0.228070175438596,0.027027027027027,1
6706,3,0,2,0,2362,1825,0.00935093509350937,0.0711111111111111,0.00896860986547088,0.111111111111111,0.0828538550057537,0.0810185185185185,0.0384615384615384,0.277777777777778
6685,3,0,2,0,1942,1669,0.00979751796211625,0.160919540229885,0.00450450450450446,0.153846153846154,0.0358695652173913,0.0511627906976744,0,NaN
6688,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6632,3,0,1,0,1042,199,0.0011560693641619,NaN,0,NaN,0,NaN,0,NaN
6310,3,0,3,0,493,2868,0.00526315789473686,0.5,0,0.5,0.201550387596899,0.0459317585301837,0.05,0.0714285714285714
6509,3,0,3,0,1242,73,0.0195348837209303,0.294117647058824,0.0128205128205128,0.666666666666667,0,NaN,0,NaN
6503,3,0,2,0,758,885,0.00536672629695889,0.166666666666667,0,NaN,0.00850340136054417,0.0980392156862745,0,0
6504,3,0,1,0,1960,567,0.0146627565982405,0.0271186440677966,0.02,0.0341880341880342,0.021598272138229,0.18,0.04,1
6508,3,0,2,0,2062,1479,0.00304136253041365,0.0909090909090909,0,1,0.0194690265486726,0.0154440154440154,0,NaN
6498,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6410,3,0,1,0,2322,911,0.00723888314374355,0.115044247787611,0.00531914893617025,0.166666666666667,0.00498132004981322,1,0,NaN
6372,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6275,3,0,1,0,228,119,0.00531914893617025,1,0,NaN,0,NaN,0,NaN
5347,3,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6128,3,0,2,0,519,1105,0.00237529691211402,0.2,0,NaN,0.00835945663531867,0.333333333333333,0,NaN
5291,3,0,3,0,616,4051,0.0193050193050193,0.470588235294118,0.0192307692307693,0.666666666666667,0.160287081339713,0.0365005793742758,0.268571428571429,0.0296684118673647
6332,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6183,3,0,2,0,1459,2483,0.0364098221845893,0.565789473684211,0.00641025641025639,0.111111111111111,0.042532624456259,0.431279620853081,0.016260162601626,0.5
6340,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6129,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6317,3,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6138,3,0,1,0,1386,671,0.00657894736842102,0.5,0.00952380952380949,1,0.00676818950930624,0.8,0.0175438596491229,1
5652,3,0,2,0,2118,464,0.0235849056603774,0.465116279069767,0,0,0.0103806228373703,0.0166666666666667,0,NaN
5614,3,0,3,0,730,512,0.0100603621730382,0.037037037037037,0,0,0.0210772833723654,0.642857142857143,0.0256410256410257,0
6106,3,0,3,0,2568,2461,0.00519112789051435,0.214285714285714,0.0141342756183745,0.1875,0.0595567867036011,0.0251647693229479,0,0.2
5292,3,0,3,0,1465,2185,0.0142970611596506,0.309090909090909,0,0.285714285714286,0.0409836065573771,0.0164473684210526,0,NaN
6373,3,0,1,0,1465,1372,0.0152963671128107,0.10077519379845,0.0151515151515151,0.0655737704918033,0.00796460176991154,0.9,0.0372093023255814,0.727272727272727
6306,3,0,2,0,3816,1031,0.00497512437810943,0.116279069767442,0.00771208226221076,0.25,0.00445930880713485,0.333333333333333,0,NaN
6251,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6350,3,0,3,0,656,5510,0.0262390670553936,0.04296875,0.0967741935483871,0.117647058823529,0.269513991163476,0.0375627866346364,0.181818181818182,0.137931034482759
6151,3,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5385,3,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6369,3,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6463,3,0,1,0,4637,749,0.00350965154173977,0.538461538461538,0,0,0.0271084337349398,0.45,0,NaN
6466,3,0,3,0,2244,79,0.0067567567567568,0.270833333333333,0.00338983050847452,0.166666666666667,0,NaN,0,NaN
6258,3,0,2,0,2817,521,0.00433087916847119,0.255813953488372,0.0126903553299492,1,0.00212314225053079,1,0,NaN
6161,3,0,3,0,492,892,0,0.0909090909090909,0,NaN,0.0070224719101124,0.138888888888889,0,NaN
5582,3,0,0,0,827,252,0.014760147601476,0.0604026845637584,0.00943396226415094,0,0.00438596491228072,0.5,0,NaN
5357,3,0,1,0,1460,389,0.0207570207570208,0.042654028436019,0.0299401197604791,0.2,0.00321543408360125,0.0625,0.0204081632653061,1
5388,3,0,1,0,1903,106,0.00898410504492053,0.333333333333333,0.00636942675159236,0.15,0,NaN,0,NaN
5314,3,0,2,0,1874,1155,0.00366300366300365,0.555555555555556,0,NaN,0.00571428571428567,0.214285714285714,0,NaN
5649,3,0,1,0,2019,216,0.00975889781859929,0.470588235294118,0,0.5,0,NaN,0,NaN
6209,3,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5259,3,0,1,0,4062,530,0.012846131886954,0.229166666666667,0.0161290322580645,0.210526315789474,0.0133630289532294,0.238095238095238,0,NaN
5443,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6139,3,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5379,3,0,3,0,280,2212,0.00806451612903225,1,0,NaN,0.0508474576271186,0.017603249830738,0.0439560439560439,0.0533333333333333
6152,3,0,1,0,983,3626,0.0145631067961165,0.217391304347826,0,1,0.0433482810164425,0.0581639803784163,0.0238095238095238,0.25
6448,3,0,1,0,206,4902,0,NaN,0,NaN,0.0356933879461674,0.0220918191232309,0.0102040816326531,0.0212765957446809
6156,3,0,1,0,3633,405,0.0189606741573034,0.18213058419244,0.0147492625368731,0.173913043478261,0,NaN,0.0126582278481012,0.2
6341,3,0,3,0,1923,680,0.0474358974358975,0.437869822485207,0.00636942675159236,0,0.00652528548123976,0.307692307692308,0,NaN
6107,3,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6346,3,0,2,0,1399,375,0.00882612533097971,0.285714285714286,0.0114942528735632,0.666666666666667,0,NaN,0,NaN
6241,3,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5319,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6479,3,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6213,3,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6142,3,0,3,0,65,3599,0,NaN,0,NaN,0.115853658536585,0.0193397799266422,0.073170731707317,0.027027027027027
5378,3,0,1,0,1331,233,0.00189393939393945,0.1,0.00995024875621886,0.75,0,NaN,0,NaN
5258,3,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5451,3,0,2,0,1929,931,0.0104302477183833,0.195402298850575,0.0126582278481012,0.333333333333333,0.0222804718217562,0.168224299065421,0.0465116279069767,1
5325,3,0,3,0,394,5998,0.0178571428571429,0.384615384615385,0,NaN,0.119089316987741,0.0185185185185185,0.231481481481482,0.0156889495225102
6400,3,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6285,3,0,2,0,2880,852,0.011623246492986,0.818181818181818,0.00395256916996045,1,0.00407055630936226,0.5,0,NaN
6284,3,0,2,0,1458,2545,0.00255319148936173,0.307692307692308,0,0,0.0173482032218092,0.0357615894039735,0.00980392156862742,0.214285714285714
6571,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6772,3,0,3,0,637,2623,0.0113851992409867,0.545454545454545,0,NaN,0.0537870472008781,0.029126213592233,0.027027027027027,0.0833333333333333
6560,3,0,3,0,1117,730,0.00429645542427493,0.571428571428571,0.0089285714285714,1,0.0462555066079295,0.0956521739130435,0.0370370370370371,0.5
6674,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6604,4,1,0,0,5290,335,0.151682571572074,0.11280487804878,0.132467532467533,0.208494208494208,0.0163265306122449,0.193548387096774,0.0454545454545454,NaN
6570,4,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6575,4,0,2,0,1580,5699,0,NaN,0,NaN,0,NaN,0,NaN
6746,4,0,1,0,2473,4153,0.0205198358413132,0.0547445255474453,0.0287958115183246,0.333333333333333,0.0720720720720721,0.0291666666666667,0.0347826086956522,0.0763888888888889
6637,4,0,3,0,1277,6821,0.0444915254237288,0.040983606557377,0.0211267605633803,0.0251572327044025,0.0956521739130435,0.0300734618916437,0.0806451612903226,0.0193842645381984
6741,4,0,2,0,1186,3209,0.00584112149532712,0.416666666666667,0,NaN,0.0759219088937093,0.0597986974541149,0.0272727272727272,0.7
6680,4,0,2,0,392,6463,0.0114942528735632,1,0.0357142857142857,0.5,0.0746113989637306,0.0345484870145342,0.0639097744360902,0.395348837209302
6599,4,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6629,4,0,2,0,5454,788,0.0347490347490348,0.217307692307692,0.0315278900565885,0.18,0.0257009345794392,0.6875,0.0288461538461539,0.5
6627,4,0,1,0,1582,1521,0.0118543607112617,0.433333333333333,0.009493670886076,0.8,0.0828025477707006,0.0376344086021505,0.0126582278481012,0.238095238095238
6076,4,0,3,0,849,1614,0.0165289256198347,0.04,0,0,0.0642570281124498,0.0325865580448065,0,0
6072,4,0,1,0,2673,1793,0.00853727945361415,0.0334029227557411,0.00277777777777777,0.222222222222222,0.0517560073937153,0.0358056265984655,0.0285714285714286,0.0231481481481481
6045,4,0,2,0,5296,759,0.0379052369077306,0.246006389776358,0.00689655172413794,0.363636363636364,0.0408653846153846,0.0952380952380952,0.0480769230769231,0.146341463414634
6077,4,0,1,0,2764,554,0.0108374384236454,0.226415094339623,0.012962962962963,0.363636363636364,0.0102301790281329,0.4,0.0074626865671642,1
6067,4,0,1,0,1572,834,0.016365202411714,0.184466019417476,0.0172413793103449,0.0789473684210526,0.0392523364485982,0.32258064516129,0.0171428571428571,0.121212121212121
6012,4,0,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6750,4,0,1,0,2384,945,0.00976205003050645,0.0463768115942029,0.00290697674418605,0.25,0.016366612111293,0.157142857142857,0.0277777777777778,0.0357142857142857
6736,4,0,3,0,0,8591,NaN,NaN,NaN,NaN,0.359375,0.0110729285987018,0.163265306122449,0.0304449648711944
6631,4,0,1,0,1134,1789,0.0194647201946472,0.571428571428571,0,NaN,0.0412698412698412,0.0557142857142857,0.02,0.166666666666667
6040,4,0,2,0,489,133,0.0102827763496144,0.117647058823529,0,0,0,NaN,0,NaN
6038,4,0,1,0,3306,2140,0.0136443661971831,0.08,0.00943396226415094,0.041958041958042,0.071537290715373,0.0378847671665351,0.0827067669172933,0.15625
6007,4,0,1,0,4322,2224,0.0216874628639334,0.386243386243386,0.0108695652173914,0.148936170212766,0.0601694915254237,0.0822407628128725,0.0138888888888888,0.0555555555555556
6574,4,0,1,0,2266,916,0.011002444987775,0.189473684210526,0.00272479564032702,0.1,0.0124137931034483,0.152542372881356,0,NaN
5943,4,0,1,0,3736,340,0.0401639344262295,0.21505376344086,0.0579937304075235,0.236111111111111,0.0221238938053098,1,0,1
6768,4,0,1,0,4009,299,0.00517799352750814,0.333333333333333,0.00528401585204752,0.235294117647059,0.00526315789473686,0.166666666666667,0.0119047619047619,0.125
5945,4,0,2,0,1446,4185,0.0098920863309353,0.305555555555556,0,NaN,0.0452261306532663,0.0363003480855296,0.0401785714285714,0.0253968253968254
6002,4,0,0,0,0,8440,NaN,NaN,NaN,NaN,1,0.000669882100750268,1,0.00209863588667366
6561,4,0,3,0,1298,5369,0.0353634577603144,0.0412573673870334,0.00425531914893618,0,0.083,0.0236794171220401,0.0871794871794872,0.0223792697290931
5978,4,0,2,0,846,112,0.014760147601476,0.210526315789474,0.014018691588785,0.333333333333333,0,NaN,0,NaN
5942,4,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6071,4,0,3,0,1016,5730,0.0483460559796438,0.0705882352941176,0.00626959247648906,0.0625,0.123552123552124,0.0126990526103608,0.0735294117647058,0.0290697674418605
5973,4,0,1,0,1708,4121,0.00535236396074934,0.545454545454545,0.0183673469387755,0.727272727272727,0.0463215258855586,0.04661487236404,0.0331491712707183,0.228070175438596
6658,4,0,2,0,2120,348,0.0364963503649635,0.0680933852140078,0.0339506172839507,0.0397111913357401,0.0397350993377483,0.0784313725490196,0.03125,0.0666666666666667
6008,4,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6003,4,0,1,0,848,659,0.00952380952380949,0.428571428571429,0,NaN,0,NaN,0.0172413793103449,0.571428571428571
6634,4,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5972,4,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6039,4,0,1,0,931,5618,0.0143603133159269,0.785714285714286,0.00819672131147542,1,0.100719424460432,0.0295957651588065,0.0390625,0.106060606060606
5948,4,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6594,4,0,1,0,1862,3684,0.0162659123055162,0.289156626506024,0.00653594771241828,0.4,0.0526315789473685,0.0616929698708752,0.0291777188328912,0.133858267716535
6005,4,0,2,0,3818,551,0.0110924369747899,0.175757575757576,0.00986193293885607,0.216216216216216,0.0303030303030303,0.0594594594594595,0,0
6035,4,0,1,0,73,16,0,NaN,0,NaN,0,NaN,0,NaN
6626,4,0,3,0,1665,5250,0.0717703349282297,0.0401146131805158,0.138297872340426,0.0324074074074074,0.178988326848249,0.0154440154440154,0.307086614173228,0.0195121951219512
6601,4,0,0,0,0,5746,NaN,NaN,NaN,NaN,0.313953488372093,0.00478645066273932,0.145833333333333,0.0804597701149425
